Code,UFMC
010-001,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В Г. МАЙКОПЕ
010-002,ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ПОС. ТУЛЬСКИЙ
010-003,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В АУЛЕ ТАХТАМУКАЙ
010-004,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В КРАСНОГВАРДЕЙСКОМ РАЙОНЕ
010-005,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ТЕУЧЕЖСКОМ РАЙОНЕ
010-006,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В КОШЕХАБЛЬСКОМ РАЙОНЕ
010-007,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ГИАГИНСКОМ РАЙОНЕ
010-008,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ТАХТАМУКАЙСКОМ РАЙОНЕ ПГТ ЯБЛОНОВСКИЙ
010-009,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ШОВГЕНОВСКОМ РАЙОНЕ
010-010,ОТДЕЛОМ ПО ВОПРОСАМ ВНЕШНЕЙ ТРУДОВОЙ МИГРАЦИИ ОФОРМЛЕНИЯ ВИЗ ПРИГЛАШЕНИЙ И РЕГИСТРАЦИИ ИНОСТРАННЫХ ГРАЖДАН ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ
010-011,ОТДЕЛОМ ПАСПОРТНОЙ И РЕГИСТРАЦИОННОЙ РАБОТЫ ПО ВОПРОСАМ ГРАЖДАНСТВА БЕЖЕНЦЕВ И ВЫНУЖДЕННЫХ ПЕРЕСЕЛЕНЦЕВ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ
010-101,ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ
011-001,МВД РЕСП. АДЫГЕЯ
012-001,УВД Г. МАЙКОПА РЕСП. АДЫГЕЯ
012-002,ОВД МАЙКОПСКОГО РАЙОНА РЕСП. АДЫГЕЯ
012-003,ТАХТАМУКАЙСКИМ РОВД РЕСП. АДЫГЕЯ
012-004,КРАСНОГВАРДЕЙСКИМ РОВД РЕСП. АДЫГЕЯ
012-005,ТЕУЧЕЖСКИМ ГРОВД РЕСП. АДЫГЕЯ
012-006,КОШЕХАБЛЬСКИМ РОВД РЕСП. АДЫГЕЯ
012-007,ГИАГИНСКИМ РОВД РЕСП. АДЫГЕЯ
012-008,ШОВГЕНОВСКИМ РОВД РЕСП. АДЫГЕЯ
013-001,ЯБЛОНОВСКИМ ПОСЕЛКОВЫМ ОМ ТАХТАМУКАЙСКОГО РОВД РЕСП. АДЫГЕЯ
020-001,УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН
020-002,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ДЕМСКОМ РАЙОНЕ Г. УФЫ
020-003,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАЛИНИНСКОМ РАЙОНЕ Г. УФЫ
020-004,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КИРОВСКОМ РАЙОНЕ Г. УФЫ
020-005,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЛЕНИНСКОМ РАЙОНЕ Г. УФЫ
020-006,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ОКТЯБРЬСКОМ РАЙОНЕ Г. УФЫ
020-007,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ОРДЖОНИКИДЗЕВСКОМ РАЙОНЕ Г. УФЫ
020-008,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СОВЕТСКОМ РАЙОНЕ Г. УФЫ
020-009,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. АГИДЕЛЬ
020-010,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БАЙМАК
020-011,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БЕЛЕБЕЙ
020-012,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БЕЛОРЕЦК
020-013,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БИРСК
020-014,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БЛАГОВЕЩЕНСК
020-015,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ДАВЛЕКАНОВО
020-016,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ДЮРТЮЛИ
020-017,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ИШИМБАЙ
020-018,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. КУМЕРТАУ
020-019,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. МЕЛЕУЗ
020-020,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. НЕФТЕКАМСК
020-021,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ОКТЯБРЬСКИЙ
020-022,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. САЛАВАТ
020-023,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. СИБАЙ
020-024,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. СТЕРЛИТАМАК
020-025,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ТУЙМАЗЫ
020-026,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. УЧАЛЫ
020-027,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ЯНАУЛ
020-028,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АБЗЕЛИЛОВСКОМ РАЙОНЕ
020-029,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АЛЬШЕЕВСКОМ РАЙОНЕ
020-030,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АРХАНГЕЛЬСКОМ РАЙОНЕ
